role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack_Percentage,Productivity_Risk
Trainee,System Administrator,21,1,1,2,2,31,15,26.55,High
Junior,Data Scientist,26,5,3,2,10,13,15,81.15,Medium
Junior,IT Manager,28,6,3,2,5,27,16,68.7,Medium
Junior,Business Analyst,32,7,3,4,7,32,22,81.85,Low
Junior,UX Researcher,32,3,3,3,10,23,14,77.85,Low
Senior,Data Analyst,49,20,5,4,12,13,24,96.0,Low
Junior,QA Engineer,32,2,3,3,6,33,18,66.4,Medium
Trainee,UX Designer,23,0,3,3,4,26,8,57.6,Medium
Senior,DevOps Engineer,43,17,4,4,11,12,31,96.0,Low
Junior,System Analyst,25,5,3,3,4,29,22,71.35,Medium
Senior,QA Engineer,51,22,5,5,18,11,19,96.0,Low
Senior,Cloud Engineer,49,21,5,5,13,17,21,96.0,Low
Senior,Data Scientist,35,9,5,5,10,13,36,96.0,Low
Senior,Database Administrator,50,22,4,5,16,11,28,96.0,Low
Senior,Cloud Engineer,49,21,5,3,8,10,32,96.0,Low
Trainee,DevOps Engineer,26,2,1,4,4,24,17,52.5,Medium
Junior,System Analyst,25,5,2,3,4,19,11,63.95,Medium
Senior,Data Engineer,38,11,5,5,14,17,19,96.0,Low
Trainee,Solution Architect,23,1,3,4,1,29,14,66.65,Medium
Junior,Business Analyst,29,7,3,3,8,29,19,75.65,Medium
Junior,IT Manager,31,4,4,4,7,32,19,93.3,Low
Senior,IT Manager,35,12,4,3,14,10,24,96.0,Low
Senior,UX Researcher,51,24,4,5,11,7,21,96.0,Low
Trainee,Support Analyst,21,0,2,2,4,32,12,33.0,High
Junior,Business Analyst,25,5,2,4,9,31,19,72.25,Medium
Senior,Data Scientist,45,16,4,4,17,8,24,96.0,Low
Junior,Data Analyst,31,4,3,3,7,15,22,83.4,Low
Senior,DevOps Engineer,48,24,4,4,9,9,19,96.0,Low
Senior,UX Researcher,51,18,5,4,17,15,22,96.0,Low
Senior,DevOps Engineer,54,21,5,5,11,9,37,96.0,Low
Senior,Data Engineer,49,22,5,4,15,18,21,96.0,Low
Trainee,Data Scientist,25,0,1,1,4,23,6,24.9,High
Senior,System Administrator,50,22,4,5,17,13,27,96.0,Low
Senior,DevOps Engineer,48,15,4,5,18,9,23,96.0,Low
Junior,Cloud Engineer,33,2,4,5,9,24,10,96.0,Low
Senior,Business Analyst,52,19,4,4,9,16,18,96.0,Low
Junior,Solution Architect,25,5,3,4,4,16,13,89.85,Low
Junior,DevOps Engineer,31,3,4,4,10,16,15,96.0,Low
Junior,IT Manager,29,6,4,3,6,19,19,94.4,Low
Trainee,System Analyst,21,0,1,2,2,40,10,18.0,High
Junior,Support Analyst,31,2,3,3,5,14,20,78.6,Low
Junior,UX Researcher,25,3,3,3,5,15,21,81.75,Low
Junior,DevOps Engineer,26,4,3,3,6,13,11,82.5,Medium
Senior,UX Designer,54,24,5,4,16,19,18,96.0,Low
Junior,Database Administrator,29,3,3,4,9,21,11,85.15,Low
Junior,QA Tester,33,3,2,5,4,18,11,78.75,Medium
Trainee,UX Designer,22,1,3,4,1,37,14,58.05,Medium
Senior,Data Scientist,35,9,5,3,18,7,33,96.0,Low
Senior,Data Analyst,49,23,5,5,8,11,29,96.0,Low
Junior,Cloud Engineer,25,4,3,4,9,20,21,92.3,Low
Senior,Data Scientist,36,9,4,4,8,19,37,96.0,Low
Junior,DevOps Engineer,33,4,2,2,8,12,13,67.8,Medium
Junior,Data Engineer,32,6,3,4,9,19,15,91.5,Low
Trainee,Support Analyst,24,2,3,2,2,31,10,42.0,High
Trainee,UX Designer,21,1,2,4,3,22,15,60.75,Low
Junior,System Administrator,34,3,4,3,9,29,17,83.95,Low
Junior,Cloud Engineer,32,7,3,5,9,12,10,96.0,Low
Junior,Database Administrator,33,4,3,3,6,19,11,76.3,Medium
Senior,System Analyst,42,19,5,5,17,20,27,96.0,Low
Junior,Data Scientist,30,4,2,4,8,19,19,82.3,Low
Junior,Data Scientist,24,2,4,5,10,29,12,96.0,Low
Junior,System Analyst,34,5,4,3,6,18,11,86.45,Low
Junior,Solution Architect,29,3,2,2,4,33,16,52.25,High
Junior,Support Analyst,32,3,4,5,9,33,17,94.15,Low
Junior,IT Manager,29,3,3,3,9,23,18,82.55,Low
Senior,Cloud Engineer,36,8,4,4,9,7,29,96.0,Low
Junior,Cloud Engineer,27,7,2,3,10,12,21,82.15,Medium
Senior,Support Analyst,42,19,5,5,10,6,20,96.0,Low
Trainee,Data Scientist,22,0,3,2,1,29,6,46.0,High
Senior,Data Analyst,44,18,4,4,14,14,36,96.0,Low
Senior,QA Engineer,50,18,5,3,11,16,27,96.0,Low
Junior,Cloud Engineer,30,2,3,2,7,14,12,74.2,Medium
Trainee,Data Analyst,24,1,2,3,4,40,11,37.45,High
Senior,Solution Architect,43,11,4,4,15,19,27,96.0,Low
Junior,System Analyst,24,4,4,5,5,33,14,91.8,Low
Junior,Database Administrator,30,4,3,4,10,30,22,84.6,Low
Senior,IT Manager,50,18,5,3,8,22,18,96.0,Low
Junior,Solution Architect,28,4,3,5,7,13,20,96.0,Low
Senior,System Analyst,50,25,4,4,11,20,31,96.0,Low
Junior,Support Analyst,26,4,4,3,5,14,20,92.5,Low
Trainee,System Administrator,22,0,3,2,1,36,8,33.9,High
Senior,System Analyst,45,19,3,5,10,16,31,96.0,Low
Trainee,Business Analyst,24,0,1,3,2,36,11,29.0,High
Senior,System Administrator,43,16,5,5,11,11,20,96.0,Low
Trainee,IT Manager,26,0,3,1,2,22,14,48.0,Medium
Senior,DevOps Engineer,49,22,3,5,15,17,22,96.0,Low
Junior,Data Analyst,27,2,3,2,7,13,19,74.7,Medium
Senior,Support Analyst,41,16,4,4,18,8,22,96.0,Low
Trainee,IT Manager,21,0,2,2,1,36,6,27.1,High
Trainee,System Analyst,25,1,2,1,1,28,14,28.35,High
Senior,Data Scientist,55,22,4,4,14,16,21,96.0,Low
Senior,QA Tester,52,22,5,4,12,8,28,96.0,Low
Senior,Cloud Engineer,41,15,4,5,8,13,31,96.0,Low
Senior,Data Engineer,40,11,5,5,16,23,35,96.0,Low
Senior,DevOps Engineer,49,17,5,5,16,9,24,96.0,Low
Senior,Support Analyst,34,11,4,5,15,17,27,96.0,Low
Junior,UX Designer,27,6,4,4,9,16,18,96.0,Low
Senior,QA Tester,41,17,5,3,11,8,21,96.0,Low
Senior,System Administrator,46,19,4,5,15,7,36,96.0,Low
Junior,IT Manager,33,4,2,4,6,14,14,83.0,Low
Senior,UX Designer,48,21,5,5,16,16,32,96.0,Low
Senior,System Administrator,32,9,5,4,9,7,33,96.0,Low
Trainee,Support Analyst,21,1,2,1,2,25,7,26.55,High
Senior,Database Administrator,40,13,5,5,12,22,21,96.0,Low
Junior,Cloud Engineer,33,7,2,3,9,32,18,66.05,Medium
Senior,Data Analyst,44,21,4,5,8,16,24,96.0,Low
Junior,UX Researcher,24,4,4,3,7,33,15,79.0,Low
Trainee,DevOps Engineer,22,0,1,3,3,42,6,25.7,High
Senior,Data Analyst,50,25,4,4,13,8,30,96.0,Low
Senior,Data Analyst,48,22,5,3,15,20,27,96.0,Low
Trainee,UX Researcher,24,0,2,1,2,34,9,23.6,High
Senior,Cloud Engineer,34,9,4,5,9,20,25,96.0,Low
Junior,System Analyst,29,7,3,4,5,20,14,84.25,Low
Senior,Data Engineer,38,10,5,5,18,15,31,96.0,Low
Junior,DevOps Engineer,32,6,3,5,5,23,22,95.9,Low
Junior,Data Scientist,30,6,2,3,6,13,15,76.0,Medium
Senior,System Analyst,38,12,4,4,15,11,20,96.0,Low
Junior,Data Analyst,24,4,4,4,10,28,11,90.6,Low
Senior,Cloud Engineer,35,9,3,3,18,24,27,96.0,Low
Junior,Data Scientist,27,6,2,4,4,26,18,74.3,Medium
Senior,IT Manager,49,16,5,5,17,8,18,96.0,Low
Senior,Cloud Engineer,47,14,5,5,15,6,29,96.0,Low
Senior,Database Administrator,38,8,4,3,11,24,29,96.0,Low
Junior,Business Analyst,34,3,4,3,6,26,12,81.35,Low
Senior,Data Engineer,37,14,4,4,15,20,19,96.0,Low
Senior,IT Manager,40,15,3,4,18,9,22,96.0,Low
Senior,QA Tester,54,24,4,3,10,11,22,96.0,Low
Trainee,System Analyst,21,1,1,3,2,33,11,30.55,High
Senior,QA Tester,37,10,5,4,14,20,35,96.0,Low
Senior,Cloud Engineer,47,16,5,3,15,14,25,96.0,Low
Trainee,Business Analyst,23,0,2,2,1,42,12,21.3,High
Junior,Data Engineer,27,3,3,3,7,12,16,85.65,Low
Junior,Data Scientist,27,4,4,3,9,26,15,88.7,Low
Senior,IT Manager,51,22,4,4,12,17,24,96.0,Low
Senior,Data Scientist,44,21,3,5,17,24,28,96.0,Low
Trainee,IT Manager,26,1,2,2,3,36,6,29.35,High
Trainee,Data Analyst,21,0,1,1,4,43,7,18.0,High
Junior,Data Analyst,28,4,3,4,7,33,17,76.8,Low
Trainee,UX Researcher,26,2,3,2,3,26,14,51.0,Medium
Junior,QA Engineer,28,6,4,2,7,26,17,75.6,Medium
Junior,Data Engineer,27,7,3,4,8,27,16,85.85,Low
Junior,QA Engineer,29,3,4,3,9,28,20,86.85,Low
Senior,DevOps Engineer,39,15,4,4,18,11,22,96.0,Low
Junior,System Analyst,34,5,3,5,4,29,22,87.35,Low
Junior,Database Administrator,26,3,2,4,7,20,22,78.45,Low
Trainee,Data Scientist,21,1,2,2,4,41,12,28.15,High
Senior,QA Tester,39,15,5,4,14,7,26,96.0,Low
Junior,Data Engineer,28,5,4,2,8,18,21,90.25,Low
Trainee,DevOps Engineer,22,0,3,3,4,40,12,50.4,Medium
Junior,QA Tester,29,6,4,5,5,20,15,96.0,Low
Trainee,Data Analyst,21,0,2,1,3,31,7,24.8,High
Trainee,Support Analyst,25,0,1,3,3,26,16,35.9,High
Senior,Cloud Engineer,46,23,4,4,12,19,18,96.0,Low
Senior,Database Administrator,37,14,5,3,16,8,36,96.0,Low
Junior,Data Scientist,34,4,3,4,7,12,10,92.7,Low
Trainee,QA Engineer,24,1,2,3,3,42,11,34.15,High
Senior,Data Analyst,49,23,4,4,10,14,18,96.0,Low
Junior,Data Scientist,27,4,4,4,10,12,14,96.0,Low
Junior,Support Analyst,33,3,2,4,8,15,12,75.85,Low
Junior,DevOps Engineer,27,2,3,3,4,12,14,81.7,Low
Junior,QA Engineer,26,2,2,5,7,27,16,76.7,Medium
Trainee,Data Scientist,24,0,2,2,1,22,7,41.3,High
Trainee,Data Analyst,22,1,2,3,1,44,9,31.15,High
Senior,Database Administrator,44,12,4,4,13,8,27,96.0,Low
Trainee,Data Engineer,22,0,1,2,4,45,7,18.0,High
Junior,Data Engineer,29,5,2,4,4,19,20,78.55,Low
Senior,Cloud Engineer,43,20,4,4,15,21,29,96.0,Low
Senior,IT Manager,47,21,5,4,16,9,23,96.0,Low
Senior,Database Administrator,51,20,4,5,12,8,18,96.0,Low
Junior,QA Engineer,34,4,3,5,6,25,22,90.5,Low
Trainee,Solution Architect,25,1,3,3,1,44,10,46.55,High
Trainee,Support Analyst,24,1,1,2,3,37,16,18.0,High
Junior,UX Designer,32,2,3,4,4,16,22,89.1,Low
Trainee,UX Designer,22,0,2,2,2,37,11,26.3,High
Junior,UX Designer,25,5,3,4,8,18,10,87.85,Low
Senior,Cloud Engineer,52,19,4,5,16,18,24,96.0,Low
Trainee,Data Analyst,25,2,2,3,4,22,11,50.5,Medium
Junior,System Analyst,24,4,2,2,10,29,19,57.1,High
Senior,UX Researcher,48,24,4,3,17,8,21,96.0,Low
Junior,UX Designer,27,3,2,4,9,13,10,81.35,Medium
Junior,UX Researcher,24,4,4,5,8,19,12,96.0,Low
Junior,Data Scientist,25,5,2,4,8,12,22,88.85,Low
Senior,QA Engineer,52,22,4,5,12,16,30,96.0,Low
Senior,System Analyst,39,10,5,4,12,19,37,96.0,Low
Junior,System Administrator,30,3,4,3,8,21,19,89.45,Low
Junior,System Analyst,27,4,2,3,5,13,10,68.2,Medium
Senior,UX Researcher,43,13,3,3,8,15,27,96.0,Low
Senior,Cloud Engineer,56,25,5,4,17,23,33,96.0,Low
Trainee,Data Engineer,21,1,2,3,1,39,14,39.65,High
Senior,Database Administrator,47,15,5,4,15,9,28,96.0,Low
Trainee,Business Analyst,22,0,3,1,1,27,13,39.2,High
Trainee,QA Engineer,23,1,1,2,4,45,9,18.0,High
Junior,UX Researcher,24,2,2,4,4,32,21,66.5,Medium
Junior,Data Engineer,26,3,3,4,4,18,12,85.15,Low
Junior,UX Researcher,25,5,3,4,6,31,10,75.95,Medium
Senior,System Administrator,47,14,5,3,12,9,21,96.0,Low
Senior,Data Engineer,38,11,5,4,8,14,23,96.0,Low
Senior,QA Tester,41,12,5,3,10,11,29,96.0,Low
Trainee,Database Administrator,22,1,2,3,1,27,7,43.25,High
Trainee,Cloud Engineer,24,1,1,3,3,45,7,24.45,High
Trainee,UX Designer,24,2,1,2,4,24,16,35.1,High
Senior,Business Analyst,40,14,4,4,12,19,29,96.0,Low
Senior,IT Manager,52,20,4,3,9,9,33,96.0,Low
Trainee,System Analyst,21,1,3,2,2,41,16,33.95,High
Trainee,UX Researcher,21,0,2,3,1,37,12,37.8,High
Senior,System Analyst,53,25,5,4,16,6,32,96.0,Low
Junior,System Analyst,30,5,3,3,8,30,17,72.25,Medium
Senior,Data Analyst,51,22,5,3,13,17,32,96.0,Low
Trainee,Data Analyst,21,1,1,4,3,32,15,41.75,Medium
Senior,QA Engineer,41,10,4,5,11,14,36,96.0,Low
Junior,Cloud Engineer,34,3,3,3,9,19,16,82.55,Low
Senior,Data Engineer,42,18,4,5,11,7,22,96.0,Low
Junior,Data Engineer,26,6,2,4,8,14,21,86.5,Low
Trainee,UX Designer,26,2,2,1,4,33,10,28.4,High
Trainee,Business Analyst,23,2,1,3,2,45,7,22.0,High
Senior,UX Designer,35,11,5,4,15,6,22,96.0,Low
Junior,IT Manager,28,6,3,5,9,29,19,96.0,Low
Senior,UX Designer,51,22,5,4,11,12,25,96.0,Low
Junior,Support Analyst,24,4,4,4,5,19,18,93.2,Low
Senior,Solution Architect,52,23,5,4,12,6,35,96.0,Low
Trainee,UX Researcher,25,2,3,2,3,39,13,36.5,High
Senior,Solution Architect,55,25,5,3,12,14,34,96.0,Low
Senior,Data Analyst,34,9,4,5,17,14,26,96.0,Low
Junior,Data Analyst,28,2,3,4,5,30,21,77.8,Low
Junior,Business Analyst,25,4,3,2,4,19,10,66.1,Medium
Senior,UX Researcher,42,18,4,4,10,20,20,96.0,Low
Trainee,Business Analyst,24,2,2,1,2,25,15,33.2,High
Junior,System Administrator,33,2,3,3,10,13,14,84.4,Low
Senior,Business Analyst,44,19,4,4,15,21,34,96.0,Low
Junior,QA Engineer,30,3,4,5,8,20,21,96.0,Low
Senior,QA Tester,50,22,4,5,11,13,25,96.0,Low
Trainee,Solution Architect,24,0,3,1,1,30,12,40.7,High
Junior,Data Analyst,24,3,3,3,10,21,12,77.45,Low
Trainee,QA Engineer,22,1,1,2,4,26,11,28.25,High
Trainee,QA Tester,25,0,2,2,1,43,15,19.8,High
Senior,System Administrator,49,19,4,3,9,18,19,96.0,Low
Trainee,DevOps Engineer,22,2,2,3,2,25,11,49.6,High
Senior,QA Engineer,42,13,5,4,8,20,29,96.0,Low
Junior,Business Analyst,30,2,2,4,10,25,12,73.2,Medium
Junior,DevOps Engineer,32,3,3,5,9,31,10,87.75,Medium
Junior,UX Designer,28,6,3,3,5,13,18,84.3,Low
Junior,DevOps Engineer,24,4,4,4,7,22,22,96.0,Low
Junior,DevOps Engineer,32,5,2,5,5,33,19,77.25,Medium
Trainee,Business Analyst,26,2,1,2,2,22,8,30.5,High
Senior,System Administrator,35,8,5,5,12,16,35,96.0,Low
Senior,Data Engineer,40,12,4,4,17,14,32,96.0,Low
Senior,Database Administrator,36,12,4,3,17,21,31,96.0,Low
Senior,Data Analyst,47,22,5,4,9,10,34,96.0,Low
Junior,Support Analyst,27,5,4,3,6,18,16,86.45,Low
Trainee,System Administrator,26,2,3,3,2,24,8,57.1,Medium
Trainee,Data Scientist,22,1,2,2,1,42,17,26.75,High
Trainee,UX Researcher,25,0,3,4,2,36,15,58.6,Medium
Trainee,Database Administrator,25,1,2,3,3,22,9,49.35,Medium
Senior,System Analyst,54,24,4,4,8,18,34,96.0,Low
Junior,QA Engineer,30,5,4,3,7,24,22,89.55,Low
Junior,Data Scientist,28,6,3,5,7,24,17,96.0,Low
Junior,DevOps Engineer,26,5,4,3,8,24,13,87.85,Low
Junior,System Administrator,28,7,2,3,8,13,19,76.85,Medium
Trainee,Database Administrator,24,2,1,2,3,35,8,18.0,High
Senior,System Administrator,46,22,3,5,11,11,34,96.0,Low
Junior,Data Engineer,34,5,4,4,10,12,12,96.0,Low
Junior,Cloud Engineer,31,3,2,4,8,26,11,72.75,Medium
Trainee,IT Manager,23,2,2,1,3,30,7,31.4,High
Senior,DevOps Engineer,53,24,5,4,14,10,36,96.0,Low
Senior,Solution Architect,34,9,5,5,9,13,34,96.0,Low
Senior,QA Tester,47,17,4,3,9,10,33,96.0,Low
Junior,Database Administrator,25,5,3,4,6,12,14,90.85,Low
Senior,Business Analyst,47,16,3,4,8,16,23,96.0,Low
Junior,Support Analyst,27,7,4,5,4,12,18,96.0,Low
Senior,Cloud Engineer,37,8,3,4,10,12,36,96.0,Low
Senior,QA Tester,35,10,3,4,13,22,21,96.0,Low
Trainee,Database Administrator,26,1,3,3,1,22,11,58.35,Medium
Junior,Support Analyst,33,3,3,5,4,23,19,87.45,Low
Junior,System Administrator,28,3,4,4,9,17,21,96.0,Low
Junior,Support Analyst,29,4,4,4,9,25,17,92.2,Low
Junior,IT Manager,25,5,3,4,7,20,15,90.55,Low
Senior,Solution Architect,44,14,3,4,18,19,24,96.0,Low
Trainee,Data Scientist,21,0,2,3,3,29,6,45.8,High
Junior,Data Analyst,25,5,2,3,10,28,18,65.85,Medium
Senior,Data Scientist,43,10,4,4,9,19,19,96.0,Low
Junior,QA Tester,33,2,3,5,9,28,11,85.8,Medium
Senior,System Administrator,43,11,5,5,11,19,27,96.0,Low
Junior,Cloud Engineer,33,2,3,4,10,33,17,81.6,Low
Trainee,Cloud Engineer,22,0,2,2,4,45,11,23.5,High
Senior,Support Analyst,41,13,4,5,8,23,37,96.0,Low
Senior,Business Analyst,37,12,5,5,13,6,35,96.0,Low
Junior,IT Manager,29,5,2,3,7,18,14,73.55,Medium
Junior,Data Scientist,34,3,2,5,10,32,13,80.15,Medium
Senior,Support Analyst,42,12,4,5,18,8,32,96.0,Low
Senior,QA Engineer,36,11,4,4,12,21,28,96.0,Low
Senior,Data Analyst,52,25,3,4,11,11,32,96.0,Low
Junior,UX Researcher,27,5,3,4,9,24,19,87.15,Low
Senior,Data Scientist,46,17,3,4,12,14,19,96.0,Low
Junior,Data Analyst,25,5,2,3,9,25,10,63.85,Medium
Senior,Data Scientist,48,25,4,4,10,9,22,96.0,Low
Senior,Data Engineer,55,22,4,5,18,17,30,96.0,Low
Trainee,System Analyst,22,1,1,1,1,30,15,18.0,High
Junior,IT Manager,33,2,3,4,10,19,13,91.8,Low
Junior,System Administrator,25,2,2,4,4,29,16,66.6,Medium
Senior,Data Analyst,58,25,5,3,18,22,36,96.0,Low
Senior,UX Designer,34,9,5,4,18,13,18,96.0,Low
Senior,Cloud Engineer,50,21,5,4,13,9,31,96.0,Low
Senior,Data Scientist,43,18,4,5,18,16,32,96.0,Low
Trainee,DevOps Engineer,22,1,2,2,4,28,8,39.65,High
Junior,Solution Architect,32,3,3,4,7,30,19,84.25,Low
Junior,QA Engineer,24,4,4,3,10,25,20,90.3,Low
Trainee,System Administrator,22,2,2,3,2,41,16,38.4,High
Trainee,Solution Architect,21,0,2,1,2,27,15,34.9,High
Junior,Data Analyst,28,5,2,4,6,25,15,71.15,Medium
Trainee,Business Analyst,25,1,1,3,3,38,8,27.75,High
Junior,System Analyst,24,4,2,4,8,33,22,69.7,Medium
Senior,Database Administrator,41,15,5,4,11,11,37,96.0,Low
Senior,UX Researcher,40,11,4,5,12,9,22,96.0,Low
Senior,DevOps Engineer,52,22,4,3,17,15,31,96.0,Low
Junior,System Analyst,29,7,3,4,5,13,12,88.35,Low
Senior,UX Researcher,52,25,5,4,17,7,25,96.0,Low
Junior,Business Analyst,28,6,4,3,4,18,15,87.7,Low
Senior,UX Designer,34,11,4,4,17,19,19,96.0,Low
Senior,QA Tester,43,18,5,5,13,8,33,96.0,Low
Junior,Solution Architect,25,5,4,4,10,27,16,96.0,Low
Senior,QA Engineer,53,20,4,4,10,11,33,96.0,Low
Junior,Data Scientist,28,5,2,3,5,15,17,74.05,Medium
Junior,Business Analyst,34,7,3,3,7,33,10,68.35,Medium
Senior,UX Designer,52,24,4,5,17,24,26,96.0,Low
Senior,UX Designer,44,17,4,5,9,11,24,96.0,Low
Senior,System Administrator,43,13,5,5,16,14,21,96.0,Low
Trainee,Data Analyst,25,0,2,2,3,26,17,40.3,High
Senior,DevOps Engineer,41,9,4,4,13,9,21,96.0,Low
Senior,Data Analyst,36,9,3,5,9,17,27,96.0,Low
Junior,Data Scientist,24,4,2,4,7,12,14,84.3,Low
Senior,QA Engineer,44,20,5,5,13,18,19,96.0,Low
Junior,System Administrator,28,6,2,5,8,23,11,82.2,Medium
Trainee,UX Designer,25,2,2,1,2,34,15,27.9,High
Trainee,UX Designer,26,0,2,1,4,31,11,29.3,High
Senior,Business Analyst,37,8,5,4,11,20,35,96.0,Low
Junior,Data Analyst,26,2,4,5,5,12,20,96.0,Low
Senior,Support Analyst,44,15,5,3,11,15,25,96.0,Low
Junior,Solution Architect,25,4,2,4,7,14,22,87.1,Low
Senior,Support Analyst,43,20,4,5,16,7,32,96.0,Low
Senior,Solution Architect,45,22,5,4,18,20,33,96.0,Low
Junior,Business Analyst,33,5,4,3,5,17,21,94.25,Low
Trainee,UX Researcher,23,2,3,1,3,22,16,46.6,Medium
Trainee,DevOps Engineer,26,0,2,3,4,41,16,41.3,High
Junior,Business Analyst,28,4,4,4,6,31,11,85.9,Low
Junior,Support Analyst,32,5,3,5,4,25,13,84.55,Low
Senior,Data Scientist,47,17,3,3,17,13,23,96.0,Low
Junior,UX Designer,25,4,3,4,5,22,13,83.1,Low
Senior,Cloud Engineer,41,15,5,4,15,8,34,96.0,Low
Senior,DevOps Engineer,41,17,5,4,18,17,36,96.0,Low
Senior,UX Designer,38,8,4,4,17,19,36,96.0,Low
Senior,System Administrator,37,13,4,3,9,8,33,96.0,Low
Senior,QA Engineer,46,15,4,4,13,9,28,96.0,Low
Senior,DevOps Engineer,43,16,4,4,16,14,21,96.0,Low
Senior,Support Analyst,34,9,5,3,17,22,31,96.0,Low
Trainee,QA Tester,25,1,2,2,2,44,17,21.25,High
Junior,UX Designer,34,4,3,4,5,29,20,81.0,Low
Senior,System Administrator,57,24,5,5,15,8,26,96.0,Low
Senior,Cloud Engineer,49,23,4,3,14,8,18,96.0,Low
Senior,IT Manager,32,8,5,4,12,19,24,96.0,Low
Senior,DevOps Engineer,46,22,5,4,12,7,30,96.0,Low
Senior,Data Engineer,51,25,5,5,12,7,26,96.0,Low
Senior,QA Tester,52,21,5,3,14,20,32,96.0,Low
Junior,Data Scientist,33,5,4,3,7,23,21,94.85,Low
Senior,QA Tester,56,23,3,5,9,22,34,96.0,Low
Trainee,Cloud Engineer,24,2,3,3,1,25,7,57.1,High
Trainee,System Analyst,23,2,1,4,4,22,15,50.1,Medium
Junior,IT Manager,31,7,4,3,4,24,12,86.75,Low
Senior,Business Analyst,51,23,4,5,14,9,27,96.0,Low
Senior,Database Administrator,43,19,5,5,11,11,22,96.0,Low
Junior,UX Researcher,32,4,4,4,10,32,14,90.0,Low
Junior,Data Scientist,31,4,4,4,9,19,10,96.0,Low
Senior,Cloud Engineer,33,8,3,4,9,23,26,96.0,Low
Senior,Business Analyst,43,10,4,4,15,12,27,96.0,Low
Senior,Data Analyst,52,22,5,4,18,21,31,96.0,Low
Trainee,Business Analyst,22,2,2,4,4,34,17,53.5,Medium
Trainee,IT Manager,26,2,2,4,4,22,13,64.3,Low
Trainee,Cloud Engineer,25,2,2,2,3,40,16,29.0,High
Senior,Database Administrator,41,10,5,4,11,12,25,96.0,Low
Trainee,Solution Architect,26,0,1,3,4,31,14,39.5,High
Senior,DevOps Engineer,52,22,5,4,10,8,24,96.0,Low
Senior,Data Scientist,41,17,5,4,9,17,20,96.0,Low
Junior,IT Manager,29,3,2,2,5,14,16,66.45,Medium
Senior,Support Analyst,53,25,5,5,16,13,23,96.0,Low
Senior,System Analyst,40,8,5,5,10,18,24,96.0,Low
Trainee,UX Researcher,24,0,1,3,2,38,16,29.6,High
Trainee,Data Scientist,26,0,1,3,1,35,16,33.8,High
Senior,Data Scientist,43,19,4,3,18,8,32,96.0,Low
Junior,QA Tester,24,4,4,3,6,16,19,89.6,Low
Senior,IT Manager,43,12,3,5,11,10,31,96.0,Low
Junior,IT Manager,31,2,4,5,5,30,20,96.0,Low
Junior,Data Scientist,28,6,2,3,5,26,10,64.0,Medium
Trainee,Solution Architect,22,0,2,2,2,36,12,30.4,High
Senior,Solution Architect,50,18,5,5,17,8,35,96.0,Low
Junior,System Analyst,24,4,3,3,5,20,15,75.3,Low
Junior,Cloud Engineer,34,4,3,4,4,20,22,88.2,Low
Trainee,IT Manager,23,0,3,2,4,26,16,55.8,Medium
Junior,Database Administrator,25,5,3,3,9,14,16,84.95,Low
Trainee,DevOps Engineer,26,2,2,2,3,45,16,25.5,High
Trainee,DevOps Engineer,24,1,2,3,2,24,13,50.65,Medium
Junior,System Analyst,24,4,2,5,6,33,11,71.5,Medium
Junior,Solution Architect,33,5,3,5,6,25,12,92.95,Low
Junior,System Administrator,26,5,4,3,8,27,12,83.35,Low
Junior,DevOps Engineer,25,5,2,4,5,27,14,71.45,Medium
Senior,DevOps Engineer,36,10,5,3,10,18,37,96.0,Low
Senior,Cloud Engineer,49,23,3,4,9,15,23,96.0,Low
Trainee,Database Administrator,23,0,3,1,3,29,10,38.4,High
Senior,System Analyst,50,25,4,4,10,21,30,96.0,Low
Junior,QA Engineer,29,6,3,3,4,16,20,79.1,Low
Junior,Data Analyst,27,5,4,3,9,28,14,83.35,Low
Senior,System Analyst,50,19,4,4,9,22,29,96.0,Low
Senior,DevOps Engineer,46,21,4,5,17,7,31,96.0,Low
Senior,Business Analyst,42,11,5,3,16,18,21,96.0,Low
Junior,QA Engineer,32,5,4,4,10,33,15,88.15,Low
Trainee,Database Administrator,24,1,1,2,2,33,7,21.95,High
Senior,System Analyst,56,24,4,5,17,19,36,96.0,Low
Junior,UX Researcher,32,5,2,3,7,15,20,74.05,Medium
Junior,QA Engineer,30,2,3,5,8,21,18,92.6,Low
Senior,UX Researcher,39,16,5,3,18,11,33,96.0,Low
Senior,UX Researcher,44,11,5,4,11,21,30,96.0,Low
Junior,UX Designer,27,3,2,5,7,24,15,81.85,Low
Senior,Cloud Engineer,40,13,5,5,14,6,28,96.0,Low
Junior,System Administrator,30,5,3,3,4,28,16,70.65,Medium
Senior,System Analyst,43,14,5,4,12,12,19,96.0,Low
Senior,Database Administrator,51,18,4,4,8,18,26,96.0,Low
Trainee,DevOps Engineer,23,0,1,4,2,39,9,36.1,High
Trainee,UX Designer,24,2,2,2,2,45,7,20.0,High
Senior,IT Manager,53,22,4,4,9,17,29,96.0,Low
Junior,Data Scientist,30,3,3,4,7,26,13,83.65,Low
Senior,Support Analyst,46,14,5,5,8,8,20,96.0,Low
Junior,Solution Architect,29,5,2,3,10,15,17,79.55,Medium
Trainee,Data Engineer,22,0,1,1,1,30,16,20.3,High
Junior,Business Analyst,30,4,2,3,4,22,10,62.0,Medium
